Time (iso),RA (GCRS) [deg],Dec (GCRS) [deg],Distance (GCRS) [km]
2024-09-11 11:54:00.000,72.94727629150375,46.06042312978761,7064.010258757587
2024-09-11 11:55:00.000,71.77499462111385,49.63069932228294,7063.9535694433025
2024-09-11 11:56:00.000,70.41740697251265,53.18700577762326,7063.924750353277
2024-09-11 11:57:00.000,68.81466810550701,56.72480951461193,7063.926215802381
2024-09-11 11:58:00.000,66.87992063688262,60.23748106587016,7063.960161988547
2024-09-11 11:59:00.000,64.48262488402644,63.714940252002826,7064.028522196762
2024-09-11 12:00:00.000,61.41869705482467,67.14113082226079,7064.132924985466
2024-09-11 12:01:00.000,57.35486473456091,70.48909093635251,7064.274656821391
2024-09-11 12:02:00.000,51.72257694359284,73.71062207980015,7064.454628910763
2024-09-11 12:03:00.000,43.52307614643921,76.7136111492284,7064.6733494379805
2024-09-11 12:04:00.000,31.066930340261926,79.31248322547422,7064.930901487584
2024-09-11 12:05:00.000,12.284663187718657,81.14436600711964,7065.226927094593
2024-09-11 12:06:00.000,347.8964785630766,81.68622235897325,7065.5606177359105
2024-09-11 12:07:00.000,324.7099405317869,80.70993171557951,7065.930711471741
2024-09-11 12:08:00.000,307.9728916039404,78.59940773203034,7066.335496839317
2024-09-11 12:09:00.000,297.00853222270365,75.85381282428742,7066.772823492616
2024-09-11 12:10:00.000,289.7157274584348,72.77445012653233,7067.2401197963945
2024-09-11 12:11:00.000,284.6313732637016,69.51150175504587,7067.734415234536
2024-09-11 12:12:00.000,280.91189708513497,66.14037990301877,7068.252372063481
2024-09-11 12:13:00.000,278.07449842810917,62.70132553873284,7068.790319515364
2024-09-11 12:14:00.000,275.8325994668441,59.2172804304281,7069.344294698596
2024-09-11 12:15:00.000,274.0083616589913,55.70212425863212,7069.910087761813
2024-09-11 12:16:00.000,272.48663444468497,52.164691393984725,7070.483290961647
2024-09-11 12:17:00.000,271.1899622736731,48.61085190760895,7071.0593509099535
2024-09-11 12:18:00.000,270.0644658763913,45.04465171085032,7071.633623226834
2024-09-11 12:19:00.000,269.0715391478886,41.468968899056,7072.201428788669
2024-09-11 12:20:00.000,268.1827796972312,37.885908296938844,7072.758110736575
2024-09-11 12:21:00.000,267.3767859659446,34.29704537527531,7073.299091756005
2024-09-11 12:22:00.000,266.6370731391094,30.70359488828066,7073.819928630601
2024-09-11 12:23:00.000,265.9506722347969,27.106502180715268,7074.316368662103
2024-09-11 12:24:00.000,265.3071713298239,23.506525071424086,7074.7843998893295
2024-09-11 12:25:00.000,264.6980378289858,19.90428209555199,7075.220299827765
2024-09-11 12:26:00.000,264.11612957694786,16.30028889171522,7075.620679821999
2024-09-11 12:27:00.000,263.55533289784046,12.69498501750628,7075.982524736914
2024-09-11 12:28:00.000,263.01028707753574,9.08875426872221,7076.303227418061
2024-09-11 12:29:00.000,262.47616777758043,5.481940581850292,7076.5806174328145
2024-09-11 12:30:00.000,261.94851002770014,1.8748609767898037,7076.812983692612
2024-09-11 12:31:00.000,261.42305655762044,-1.7321833917473195,7076.9990906508465
2024-09-11 12:32:00.000,260.89562032887414,-5.338897240421753,7077.13818786979
2024-09-11 12:33:00.000,260.36195143824483,-8.94498393137874,7077.230012896976
2024-09-11 12:34:00.000,259.81760162895796,-12.550125840672395,7077.274787142781
2024-09-11 12:35:00.000,259.2577716334149,-16.153987888720305,7077.27320570277
2024-09-11 12:36:00.000,258.6771374934687,-19.75619504756276,7077.226420094359
2024-09-11 12:37:00.000,258.06963651739284,-23.356319047520653,7077.136015208046
2024-09-11 12:38:00.000,257.42819604958436,-26.953858347833428,7077.003980429907
2024-09-11 12:39:00.000,256.74437781645224,-30.54821175640646,7076.8326754885775
2024-09-11 12:40:00.000,256.00789837137165,-34.13864270218589,7076.6247915806325
2024-09-11 12:41:00.000,255.20596592983244,-37.724229598078836,7076.383308398166
2024-09-11 12:42:00.000,254.3223407845795,-41.303795152735816,7076.111447742222
2024-09-11 12:43:00.000,253.3359710524887,-44.87580312402259,7075.812624454866
2024-09-11 12:44:00.000,252.21895930469458,-48.43820577611916,7075.490395217691
2024-09-11 12:45:00.000,250.93345188194135,-51.988194864610165,7075.148407339931
2024-09-11 12:46:00.000,249.4267163275648,-55.52183337260567,7074.790345062269
2024-09-11 12:47:00.000,247.62310929067723,-59.033411276052654,7074.419878519568
2024-09-11 12:48:00.000,245.4104512377976,-62.5143490045308,7074.040612950391
2024-09-11 12:49:00.000,242.61598112809406,-65.95119906990227,7073.656040197275
2024-09-11 12:50:00.000,238.96218412486684,-69.3218049670475,7073.2694930283515
2024-09-11 12:51:00.000,233.98305468062466,-72.58745981681193,7072.8841029718305
2024-09-11 12:52:00.000,226.86629761664688,-75.6759586669522,7072.502762296092
2024-09-11 12:53:00.000,216.19979352026516,-78.4440639695718,7072.128090699868
2024-09-11 12:54:00.000,199.9086149970909,-80.60381266776311,7071.762407199365
2024-09-11 12:55:00.000,177.09045402714708,-81.66743297863059,7071.407707380215
